filename,size,status,enc_entropy,corr_h,corr_v,corr_d,uniformity,mse,perfect_match
texmos3b.p512.tiff,512x512,OK,7.9994,0.0023,-0.0014,-0.0015,97.06,0,TRUE
,,,,,,,,,
metric,mean,std,min,max,,,,,
enc_entropy,7.9995,0.0003,7.9991,7.9999,,,,,
corr_h,0.0202,0.0416,-0.0666,0.0924,,,,,
corr_v,0,0.0018,-0.0042,0.0044,,,,,
corr_d,-0.0001,0.0018,-0.0081,0.0033,,,,,
uniformity,97.49,0.7746,96.53,98.56,,,,,
mse,0,0,0,0,,,,,
perfect_match_rate,64/64,,,,,,,,
