filename,size,status,enc_entropy,corr_h,corr_v,corr_d,uniformity,mse,perfect_match
motion08.512.tiff,512x512,OK,7.9994,0.0814,-0.0006,-0.0025,97.07,0,TRUE
motion09.512.tiff,512x512,OK,7.9992,0.0832,0.0006,0,96.6,0,TRUE
motion10.512.tiff,512x512,OK,7.9994,0.0804,0.0017,-0.0005,97.16,0,TRUE
,,,,,,,,,
metric,mean,std,min,max,,,,,
enc_entropy,7.9975,0.0008,7.9965,7.9994,,,,,
corr_h,-0.0255,0.0454,-0.0703,0.0836,,,,,
corr_v,-0.0006,0.0037,-0.012,0.0074,,,,,
corr_d,-0.0001,0.0037,-0.0092,0.0085,,,,,
uniformity,94.2555,1.1132,93.06,97.16,,,,,
mse,0,0,0,0,,,,,
perfect_match_rate,69/69,,,,,,,,
